Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Oksfjord,NO,70.2396,22.3479,46.47,79,97,overcast clouds
1,Olot,ES,42.181,2.4901,76.8,56,0,clear sky
2,Sao Filipe,CV,14.8961,-24.4956,77.14,84,96,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,55.9,77,13,few clouds
4,Rikitea,PF,-23.1203,-134.9692,74.73,75,0,clear sky
5,Viedma,AR,-40.8135,-62.9967,61.68,25,94,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,66,40,scattered clouds
7,Kitimat,CA,54.0524,-128.6534,65.91,69,30,scattered clouds
8,Fuling,CN,29.7022,107.3919,73.27,88,91,overcast clouds
9,Hamilton,US,39.1834,-84.5333,76.91,71,90,overcast clouds
10,Opuwo,NA,-18.0607,13.84,64.22,51,0,clear sky
11,Khankala,RU,43.3021,45.7556,73.81,94,90,overcast clouds
12,Alugan,PH,12.2188,125.4808,81.59,77,96,overcast clouds
13,Najran,SA,17.4924,44.1277,83.05,19,96,overcast clouds
14,Bluff,NZ,-46.6,168.3333,56.8,66,99,overcast clouds
15,Saint-Philippe,RE,-21.3585,55.7679,65.75,78,85,light rain
16,Bengkulu,ID,-3.8004,102.2655,74.12,88,66,broken clouds
17,Mataura,NZ,-46.1927,168.8643,56.48,70,100,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,84.83,58,3,clear sky
19,Matara,LK,5.9485,80.5353,77.77,86,97,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,broken clouds
21,Esperance,AU,-33.8667,121.9,48.04,89,0,clear sky
22,Vaini,TO,-21.2,-175.2,71.76,73,75,broken clouds
23,Inirida,CO,3.8653,-67.9239,74.07,97,93,overcast clouds
24,Grindavik,IS,63.8424,-22.4338,52.27,100,90,overcast clouds
25,Busselton,AU,-33.65,115.3333,53.04,68,0,clear sky
26,Faanui,PF,-16.4833,-151.75,79.03,74,10,clear sky
27,Erenhot,CN,43.6475,111.9767,69.94,56,0,clear sky
28,Boguchany,RU,58.3814,97.4531,57.11,75,100,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,42.69,96,100,light rain
30,Cidreira,BR,-30.1811,-50.2056,57.87,94,47,scattered clouds
31,Norman Wells,CA,65.282,-126.8329,57.24,82,90,overcast clouds
32,Geraldton,AU,-28.7667,114.6,54.01,50,0,clear sky
33,Kapaa,US,22.0752,-159.319,86.32,66,20,few clouds
34,Cayenne,GF,4.9333,-52.3333,78.1,85,0,clear sky
35,Dalbandin,PK,28.8947,64.4101,81.1,13,0,clear sky
36,Albany,US,42.6001,-73.9662,73.45,61,100,overcast clouds
37,Sabzevar,IR,36.2126,57.6819,70.34,17,0,clear sky
38,Saint Anthony,US,45.0205,-93.218,87.19,38,1,clear sky
39,Barrow,US,71.2906,-156.7887,35.62,80,90,overcast clouds
40,Hovd,MN,48.0056,91.6419,56.98,92,100,overcast clouds
41,Ketchikan,US,55.3422,-131.6461,63.07,59,90,light rain
42,Torbay,CA,47.6666,-52.7314,74.17,90,20,few clouds
43,Gweta,BW,-20.1833,25.2333,59.9,52,0,clear sky
44,Jamestown,US,42.097,-79.2353,74.84,49,1,clear sky
45,Hue,VN,16.4667,107.6,77.11,94,20,few clouds
46,Saskylakh,RU,71.9167,114.0833,50.9,66,76,broken clouds
47,Kaitangata,NZ,-46.2817,169.8464,52.0,63,100,light rain
48,Arraial Do Cabo,BR,-22.9661,-42.0278,68.86,82,1,clear sky
49,Khomutovo,RU,52.4658,104.4025,61.41,96,100,overcast clouds
50,Moerai,PF,-22.4333,-151.3333,71.89,76,88,overcast clouds
51,Broken Hill,AU,-31.95,141.4333,42.51,70,0,clear sky
52,Kikwit,CD,-5.041,18.8162,82.08,43,76,broken clouds
53,San-Pedro,CI,4.7485,-6.6363,75.25,77,22,few clouds
54,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,light rain
55,Hobart,AU,-42.8794,147.3294,42.66,87,75,light rain
56,Hithadhoo,MV,-0.6,73.0833,82.67,72,100,overcast clouds
57,Cherskiy,RU,68.75,161.3,42.84,91,100,light rain
58,Severo-Kurilsk,RU,50.6789,156.125,57.29,83,25,scattered clouds
